t0_date,weighting,n_fit,n_holdout,beta_ols,beta_qr,alpha_ols,r2_fit,r2_holdout,sigma_fit,sigma_holdout
2008-06-09,unweighted,5747,0,,,,,,,
2008-06-09,1_over_t,5747,0,,,,,,,
2008-06-16,log_density,1150,5747,6.332921283410073,6.23524307437088,-3.0326083230667322,0.9967006152524315,0.9585775000073606,0.10764485456562144,0.3131997103647419
2008-06-16,unweighted,5747,0,,,,,,,
2008-06-16,1_over_t,5747,0,,,,,,,
2008-06-23,log_density,1150,5747,6.311225904838068,6.216759844210242,-3.005321235376158,0.9967533819371838,0.9586902049018454,0.10636831681449574,0.3127733335881537
2008-06-23,unweighted,5747,0,,,,,,,
2008-06-23,1_over_t,5747,0,,,,,,,
2008-06-30,log_density,1150,5747,6.29167996356562,6.198238894035803,-2.9803858724444368,0.9968457738621141,0.9588025248999827,0.10465380866130056,0.3123478338671832
2008-06-30,unweighted,5747,0,,,,,,,
2008-06-30,1_over_t,5747,0,,,,,,,
2008-07-07,log_density,1150,5747,6.275732769087824,6.179679637325842,-2.9589133313434957,0.9969763446925078,0.9589144379351937,0.1023690191698384,0.3119232985562537
2008-07-07,unweighted,5747,0,,,,,,,
2008-07-07,1_over_t,5747,0,,,,,,,
2008-07-14,log_density,1150,5747,6.259268033235742,6.161081473375933,-2.9366214974131566,0.9970864841822878,0.959025921126851,0.10033466301200404,0.3114998185719065
2008-07-14,unweighted,5747,0,,,,,,,
2008-07-14,1_over_t,5747,0,,,,,,,
2008-07-21,log_density,1150,5747,6.238626871828309,6.14244378682326,-2.9111760256683894,0.9971694669446156,0.959136950746161,0.09865491733233923,0.31107748854401357
2008-07-21,unweighted,5747,0,,,,,,,
2008-07-21,1_over_t,5747,0,,,,,,,
2008-07-28,log_density,1150,5747,6.21904715081385,6.123765947150353,-2.8863732878396746,0.9972553355424418,0.9592475021803465,0.09688619734010298,0.31065640697424207
2008-07-28,unweighted,5747,0,,,,,,,
2008-07-28,1_over_t,5747,0,,,,,,,
2008-08-04,log_density,1150,5747,6.2011426463874635,6.10504730816738,-2.8634277599176947,0.9973474404346907,0.959357549895028,0.09486843689557437,0.31023667640216984
2008-08-04,unweighted,5747,0,,,,,,,
2008-08-04,1_over_t,5747,0,,,,,,,
2008-08-11,log_density,1150,5747,6.180923249201513,6.086287207471264,-2.837706092901797,0.997414078038245,0.9594670673946991,0.09331770663499264,0.30981840357947615
2008-08-11,unweighted,5747,0,,,,,,,
2008-08-11,1_over_t,5747,0,,,,,,,
2008-08-18,log_density,1150,5747,6.164431155722738,6.067484965880782,-2.8157738711624347,0.9975189579402901,0.9595760271811781,0.09115428604662759,0.30940169965265985
2008-08-18,unweighted,5747,0,,,,,,,
2008-08-18,1_over_t,5747,0,,,,,,,
